Department|Attrition_Retention 2|Age group|Gender|Job Role|Attrition|Attrition Label|Education|Major|Age|Attrition Count|Attrition %|Attrition Date|Avg. Satisfaction Score|Dynamic Date|Employee No.|Employee Number|Environment Satisfaction|Job Involvement|Job Satisfaction|Monthly Income|Percent Salary Hike|Performance Rating|Relationship Satisfaction|Work Life Balance
Research & Development|Current Employees|> 55|Male|Healthcare Representative|No|Current Employees|Master's Degree|Life Sciences|58||||3.0||E_422|422|4|1|3|5660|13|3|4|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Technical Degree|31||||3.2||E_423|423|3|3|4|4821|12|3|3|3
Human Resources|Current Employees|25-34|Male|Human Resources|No|Current Employees|Bachelor's Degree|Human Resources|31||||2.2||E_424|424|1|2|1|6410|12|3|4|3
Research & Development|Current Employees|45-55|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|45||||1.8||E_425|425|1|3|1|5210|18|3|1|3
R & D|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|31||||2.6||E_426|426|3|3|4|2695|18|3|2|1
Research & Development|Current Employees|25-34|Female|Manager|No|Current Employees|Master's Degree|Life Sciences|33||||2.8||E_428|428|4|3|2|11878|11|3|2|3
Research & Development|Current Employees|35-44|Male|Manager|No|Current Employees|High School|Medical|39||||2.8||E_429|429|3|3|1|17068|14|3|4|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|43||||2.8||E_430|430|3|3|4|2455|19|3|1|3
Research & Development|Current Employees|45-55|Female|Healthcare Representative|No|Current Employees|Associates Degree|Technical Degree|49||||3.0||E_431|431|3|2|3|13964|12|3|4|3
Research & Development|Ex-Employees|45-55|Male|Research Scientist|Yes|Ex-Employees|Master's Degree|Medical|52|1.0|0.007518797|3/18/2022|2.0|3/1/2022|E_433|433|3|2|2|4941|15|3|1|2
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|27||||2.4||E_434|434|3|3|2|2478|12|3|2|2
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Associates Degree|Technical Degree|32||||2.8||E_436|436|3|2|2|5228|11|3|4|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|27||||2.8||E_437|437|4|3|3|4478|11|3|1|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|31||||3.6||E_438|438|4|3|4|7547|12|3|4|3
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Master's Degree|Medical|32||||2.8||E_439|439|1|4|4|5055|16|3|3|2
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|Master's Degree|Medical|28|1.0|0.007518797|4/29/2022|2.4|4/1/2022|E_440|440|1|1|4|3464|13|3|4|2
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Associates Degree|Medical|30||||3.6||E_441|441|4|3|4|5775|13|3|4|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Associates Degree|Life Sciences|31||||2.4||E_442|442|3|2|3|8943|24|4|1|3
R & D|Current Employees|35-44|Male|Manager|No|Current Employees|Associates Degree|Medical|39||||2.6||E_444|444|3|2|4|19272|15|3|1|3
Sales|Ex-Employees|35-44|Female|Sales Executive|Yes|Ex-Employees|Associates Degree|Medical|39|1.0|0.010869565|4/22/2022|2.6|4/1/2022|E_445|445|4|3|3|5238|18|3|1|2
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|33||||2.6||E_446|446|2|2|4|4682|14|3|3|2
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Doctoral Degree|Life Sciences|47||||3.0||E_447|447|4|3|3|18300|11|3|2|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|43||||2.8||E_448|448|3|2|3|5257|11|3|2|4
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|High School|Marketing|27||||3.0||E_449|449|3|3|2|6349|13|3|4|3
Research & Development|Current Employees|45-55|Female|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|54||||3.2||E_450|450|4|3|3|4869|12|3|4|2
R & D|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Bachelor's Degree|Life Sciences|43||||2.0||E_451|451|3|3|1|9985|16|3|1|2
Research & Development|Current Employees|45-55|Male|Research Scientist|No|Current Employees|Master's Degree|Other|45||||3.0||E_452|452|4|3|4|3697|14|3|1|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Associates Degree|Medical|40||||2.4||E_453|453|2|1|4|7457|22|4|3|2
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Master's Degree|Other|29|1.0|0.007518797|4/3/2022|2.0|4/1/2022|E_454|454|2|1|1|2119|11|3|4|2
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Doctoral Degree|Other|29||||2.8||E_455|455|2|2|4|3983|17|3|3|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|30||||3.0||E_456|456|4|2|3|6118|13|3|3|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Master's Degree|Marketing|27||||2.2||E_458|458|2|3|2|6214|18|3|1|3
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Associates Degree|Medical|37||||3.2||E_460|460|4|3|4|6347|16|3|3|2
R & D|Current Employees|35-44|Male|Research Director|No|Current Employees|Associates Degree|Life Sciences|38||||2.8||E_461|461|3|2|4|11510|14|3|2|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Master's Degree|Medical|31||||3.0||E_462|462|3|3|4|7143|14|3|3|2
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|High School|Marketing|29||||2.4||E_463|463|4|2|2|8268|14|3|1|3
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Master's Degree|Technical Degree|35||||3.0||E_464|464|3|3|2|8095|13|3|4|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|High School|Life Sciences|23||||3.0||E_465|465|3|3|4|2904|12|3|3|2
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|41||||3.0||E_466|466|4|2|2|6032|15|3|4|3
Sales|Current Employees|45-55|Male|Sales Representative|No|Current Employees|High School|Medical|47||||2.4||E_467|467|2|3|3|2976|19|3|1|3
Research & Development|Current Employees|35-44|Female|Research Director|No|Current Employees|Doctoral Degree|Life Sciences|42||||2.6||E_468|468|1|3|4|15992|14|3|2|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|29||||2.6||E_469|469|4|3|3|4649|14|3|1|2
Human Resources|Current Employees|35-44|Male|Human Resources|No|Current Employees|High School|Technical Degree|42||||3.0||E_470|470|3|3|3|2696|11|3|3|3
R & D|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|32||||2.8||E_471|471|3|3|2|2370|13|3|3|3
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|High School|Medical|48||||2.0||E_473|473|1|3|3|12504|21|4|2|1
R & D|Current Employees|35-44|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|37||||2.4||E_474|474|3|4|1|5974|13|3|1|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Associates Degree|Technical Degree|30||||3.2||E_475|475|4|3|3|4736|12|3|2|4
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|26||||2.8||E_476|476|3|3|3|5296|17|3|2|3
R & D|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Master's Degree|Other|42||||2.4||E_477|477|1|2|4|6781|23|4|2|3
Sales|Ex-Employees|< 25|Female|Sales Representative|Yes|Ex-Employees|High School|Technical Degree|21|1.0|0.010869565|4/23/2022|2.2|4/1/2022|E_478|478|1|2|2|2174|11|3|3|3
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Doctoral Degree|Medical|36||||3.2||E_479|479|4|3|4|6653|15|3|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Medical|36||||2.2||E_481|481|1|2|4|9699|11|3|1|3
Research & Development|Current Employees|> 55|Male|Healthcare Representative|No|Current Employees|Master's Degree|Medical|57||||3.2||E_482|482|4|3|3|6755|11|3|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|40||||3.4||E_483|483|4|4|3|2213|13|3|3|3
Sales|Current Employees|< 25|Male|Sales Representative|No|Current Employees|Associates Degree|Medical|21||||2.6||E_484|484|1|3|4|2610|24|4|3|2
Sales|Ex-Employees|25-34|Female|Sales Representative|Yes|Ex-Employees|Bachelor's Degree|Marketing|33|1.0|0.010869565|3/29/2022|3.0|3/1/2022|E_485|485|4|3|3|2851|13|3|2|3
R & D|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|37||||2.4||E_486|486|3|3|1|3452|20|4|2|3
Research & Development|Current Employees|45-55|Female|Manufacturing Director|No|Current Employees|Master's Degree|Medical|46||||3.2||E_487|487|3|3|3|5258|14|3|3|4
Sales|Ex-Employees|35-44|Male|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Marketing|41|1.0|0.010869565|4/3/2022|2.4|4/1/2022|E_488|488|1|3|2|9355|18|3|3|3
Research & Development|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Technical Degree|50||||3.4||E_491|491|4|2|4|10496|15|3|4|3
Sales|Ex-Employees|35-44|Male|Sales Executive|Yes|Ex-Employees|Associates Degree|Marketing|40|1.0|0.010869565|10/27/2021|2.4|10/1/2021|E_492|492|3|2|3|6380|12|3|1|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|31||||2.8||E_493|493|3|2|2|2657|16|3|4|3
Sales|Ex-Employees|< 25|Female|Sales Representative|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|21|1.0|0.010869565|12/8/2021|3.2|12/1/2021|E_494|494|3|4|2|2716|15|3|4|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|29||||3.6||E_495|495|4|3|4|2201|16|3|4|3
Research & Development|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Master's Degree|Life Sciences|35||||2.6||E_496|496|3|2|2|6540|19|3|3|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|27||||2.8||E_497|497|4|3|2|3816|11|3|2|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|28||||3.2||E_498|498|2|3|4|5253|16|3|4|3
Research & Development|Current Employees|45-55|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Other|49||||2.6||E_499|499|2|2|3|10965|24|4|3|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Associates Degree|Life Sciences|51||||3.0||E_500|500|3|3|4|4936|11|3|3|2
R & D|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|36||||3.0||E_501|501|4|3|3|2543|13|3|2|3
Sales|Ex-Employees|25-34|Male|Sales Executive|Yes|Ex-Employees|Bachelor's Degree|Marketing|34|1.0|0.010869565|11/26/2021|2.6|11/1/2021|E_502|502|1|4|4|5304|13|3|2|2
Research & Development|Current Employees|45-55|Female|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|55||||3.2||E_505|505|3|3|4|16659|13|3|3|3
Sales|Current Employees|< 25|Female|Sales Executive|No|Current Employees|Master's Degree|Marketing|24||||3.6||E_507|507|4|3|3|4260|12|3|4|4
Sales|Current Employees|25-34|Male|Sales Representative|No|Current Employees|High School|Technical Degree|30||||2.4||E_508|508|3|3|2|2476|18|3|1|3
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|High School|Technical Degree|26|1.0|0.007518797|3/22/2022|2.6|3/1/2022|E_510|510|3|3|1|3102|22|4|3|3
Research & Development|Current Employees|< 25|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|22||||2.6||E_511|511|1|3|2|2244|13|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Associates Degree|Medical|36||||2.4||E_513|513|2|2|3|7596|13|3|2|3
Research & Development|Ex-Employees|25-34|Male|Research Scientist|Yes|Ex-Employees|Bachelor's Degree|Technical Degree|30|1.0|0.007518797|3/6/2022|3.2|3/1/2022|E_514|514|3|3|4|2285|23|4|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|37||||2.6||E_515|515|4|3|1|3034|12|3|3|2
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Associates Degree|Marketing|40||||3.0||E_516|516|4|3|2|5715|12|3|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|42||||2.2||E_517|517|2|3|1|2576|16|3|2|3
R & D|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|37||||2.8||E_518|518|3|3|2|4197|12|3|4|2
Research & Development|Current Employees|35-44|Male|Research Director|No|Current Employees|Bachelor's Degree|Life Sciences|43||||2.2||E_520|520|1|2|2|14336|11|3|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|40||||2.4||E_521|521|2|2|3|3448|22|4|2|3
R & D|Current Employees|45-55|Male|Research Director|No|Current Employees|Associates Degree|Medical|54||||2.0||E_522|522|1|3|1|19406|11|3|3|2
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Master's Degree|Marketing|34||||2.6||E_523|523|3|3|3|6538|15|3|1|3
Research & Development|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Associates Degree|Medical|31||||1.8||E_524|524|2|3|1|4306|12|3|2|1
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|43||||3.0||E_525|525|4|3|4|2258|20|4|1|3
R & D|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Master's Degree|Other|43||||3.2||E_526|526|3|3|3|4522|14|3|4|3
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Associates Degree|Life Sciences|25||||2.6||E_527|527|2|2|4|4487|11|3|2|3
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Doctoral Degree|Medical|37||||2.4||E_529|529|2|3|3|4449|15|3|1|3
R & D|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|31||||2.6||E_530|530|4|2|1|2218|12|3|3|3
Research & Development|Current Employees|35-44|Male|Manager|No|Current Employees|High School|Life Sciences|39||||2.8||E_531|531|2|3|3|19197|14|3|3|3
Sales|Current Employees|> 55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Life Sciences|56||||2.8||E_532|532|3|4|1|13212|11|3|4|2
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Technical Degree|30||||2.6||E_533|533|2|3|3|6577|11|3|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|41||||2.6||E_534|534|2|4|1|8392|16|3|3|3
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Associates Degree|Medical|28||||2.8||E_536|536|3|3|1|4558|12|3|4|3
R & D|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Medical|25|1.0|0.007518797|4/22/2022|2.2|4/1/2022|E_538|538|1|3|1|4031|13|3|3|3
R & D|Current Employees|45-55|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|52||||3.0||E_543|543|4|2|3|7969|14|3|3|3
R & D|Current Employees|45-55|Male|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|45||||2.8||E_544|544|1|3|4|2654|21|4|4|2
Research & Development|Current Employees|45-55|Female|Manager|No|Current Employees|Associates Degree|Life Sciences|52||||3.2||E_546|546|4|3|4|16555|13|3|4|1
Research & Development|Current Employees|35-44|Female|Research Scientist|No|Current Employees|Associates Degree|Life Sciences|42||||2.4||E_547|547|1|3|3|4556|11|3|2|3
R & D|Current Employees|25-34|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|30||||2.8||E_548|548|3|1|4|6091|20|4|3|3
R & D|Current Employees|> 55|Female|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|60||||2.0||E_549|549|1|3|1|19566|11|3|4|1
Research & Development|Current Employees|45-55|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|46||||2.8||E_550|550|3|3|3|4810|14|3|3|2
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Master's Degree|Technical Degree|42||||3.6||E_551|551|4|2|4|4523|11|3|4|4
Sales|Ex-Employees|< 25|Female|Sales Representative|Yes|Ex-Employees|High School|Technical Degree|24|1.0|0.010869565|4/27/2022|2.2|4/1/2022|E_554|554|1|3|2|3202|16|3|2|3
Sales|Ex-Employees|25-34|Female|Sales Representative|Yes|Ex-Employees|Associates Degree|Marketing|34|1.0|0.010869565|3/16/2022|2.8|3/1/2022|E_555|555|4|1|3|2351|16|3|4|2
R & D|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Associates Degree|Life Sciences|38||||3.4||E_556|556|4|3|4|1702|23|4|3|3
Sales|Current Employees|35-44|Female|Manager|No|Current Employees|Master's Degree|Life Sciences|40||||3.2||E_558|558|3|3|3|18041|14|3|4|3
R & D|Current Employees|25-34|Female|Research Scientist|No|Current Employees|Bachelor's Degree|Life Sciences|26||||2.2||E_560|560|1|3|4|2886|22|4|2|1
Research & Development|Current Employees|25-34|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|30||||2.8||E_562|562|3|3|4|2097|15|3|3|1
Research & Development|Current Employees|25-34|Male|Research Director|No|Current Employees|Master's Degree|Medical|29||||2.6||E_564|564|2|2|3|11935|18|3|3|3
R & D|Ex-Employees|25-34|Female|Research Scientist|Yes|Ex-Employees|Doctoral Degree|Technical Degree|29|1.0|0.007518797|11/1/2021|2.6|11/1/2021|E_565|565|3|2|2|2546|16|3|2|4
Human Resources|Ex-Employees|< 25|Male|Human Resources|Yes|Ex-Employees|Associates Degree|Technical Degree|19|1.0|0.083333333|4/11/2022|2.8|4/1/2022|E_566|566|1|2|4|2564|12|3|3|4
Sales|Current Employees|25-34|Female|Sales Executive|No|Current Employees|Master's Degree|Other|30||||2.6||E_567|567|3|3|1|8412|11|3|3|3
Sales|Current Employees|> 55|Male|Manager|No|Current Employees|Bachelor's Degree|Marketing|57||||2.4||E_568|568|1|2|4|14118|12|3|3|2
R & D|Current Employees|45-55|Male|Manager|No|Current Employees|Master's Degree|Life Sciences|50||||2.4||E_569|569|2|2|3|17046|15|3|2|3
Research & Development|Current Employees|25-34|Female|Laboratory Technician|No|Current Employees|Bachelor's Degree|Medical|30||||3.0||E_571|571|3|3|4|2564|14|3|3|2
Sales|Current Employees|> 55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|60||||2.8||E_573|573|3|2|1|10266|19|3|4|4
Research & Development|Current Employees|45-55|Female|Manufacturing Director|No|Current Employees|Associates Degree|Medical|47||||2.8||E_574|574|1|3|4|5070|13|3|3|3
Research & Development|Current Employees|45-55|Male|Research Director|No|Current Employees|Bachelor's Degree|Life Sciences|46||||2.2||E_575|575|1|3|3|17861|13|3|3|1
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Bachelor's Degree|Life Sciences|35||||2.8||E_577|577|4|1|3|4230|15|3|3|3
R & D|Current Employees|45-55|Female|Laboratory Technician|No|Current Employees|Master's Degree|Life Sciences|54||||3.0||E_578|578|3|3|3|3780|11|3|3|3
Research & Development|Current Employees|25-34|Male|Research Scientist|No|Current Employees|Master's Degree|Life Sciences|34||||3.0||E_579|579|4|2|3|2768|12|3|3|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|46||||3.0||E_580|580|3|2|4|9071|19|3|3|3
R & D|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|High School|Life Sciences|31||||3.2||E_581|581|3|3|2|10648|25|4|4|4
Research & Development|Ex-Employees|25-34|Male|Manager|Yes|Ex-Employees|High School|Medical|33|1.0|0.007518797|1/28/2022|3.2|1/1/2022|E_582|582|2|3|3|13610|12|3|4|4
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|High School|Medical|33|1.0|0.007518797|3/4/2022|2.0|3/1/2022|E_584|584|1|1|4|3408|13|3|1|3
Sales|Current Employees|25-34|Male|Sales Representative|No|Current Employees|High School|Marketing|30||||2.6||E_585|585|4|3|2|2983|14|3|1|3
Research & Development|Current Employees|35-44|Male|Healthcare Representative|No|Current Employees|Bachelor's Degree|Life Sciences|35||||3.2||E_586|586|4|3|3|7632|12|3|3|3
R & D|Ex-Employees|25-34|Male|Healthcare Representative|Yes|Ex-Employees|Bachelor's Degree|Life Sciences|31|1.0|0.007518797|8/22/2021|2.2|8/1/2021|E_587|587|1|3|3|9824|12|3|1|3
Human Resources|Ex-Employees|25-34|Female|Human Resources|Yes|Ex-Employees|Bachelor's Degree|Human Resources|34|1.0|0.083333333|5/29/2021|2.4|5/1/2021|E_590|590|2|3|1|9950|15|3|3|3
Research & Development|Current Employees|35-44|Male|Laboratory Technician|No|Current Employees|Associates Degree|Other|42||||3.0||E_591|591|2|3|3|2093|17|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Medical|36||||3.0||E_592|592|2|3|4|9980|14|3|4|2
R & D|Ex-Employees|< 25|Male|Laboratory Technician|Yes|Ex-Employees|High School|Technical Degree|22|1.0|0.007518797|3/6/2022|2.8|3/1/2022|E_593|593|3|2|3|3894|16|3|3|3
Sales|Current Employees|45-55|Female|Sales Executive|No|Current Employees|Doctoral Degree|Marketing|48||||2.6||E_595|595|2|3|4|4051|14|3|1|3
Sales|Current Employees|45-55|Female|Manager|No|Current Employees|Doctoral Degree|Life Sciences|55||||2.6||E_597|597|1|3|2|16835|23|4|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Associates Degree|Life Sciences|41||||3.6||E_599|599|4|3|4|6230|14|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Marketing|35||||2.8||E_600|600|2|3|3|4717|11|3|3|3
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Life Sciences|40||||2.8||E_601|601|2|3|3|13237|15|3|3|3
Research & Development|Current Employees|35-44|Female|Laboratory Technician|No|Current Employees|High School|Life Sciences|39||||2.6||E_602|602|3|3|3|3755|11|3|1|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|High School|Life Sciences|31||||3.2||E_604|604|2|3|4|6582|13|3|3|4
Research & Development|Current Employees|35-44|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Medical|42||||2.8||E_605|605|4|3|1|7406|21|4|4|2
Sales|Current Employees|45-55|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Other|45||||3.0||E_606|606|4|3|2|4805|19|3|2|4
HR|Ex-Employees|25-34|Female|Human Resources|Yes|Ex-Employees|Master's Degree|Life Sciences|26|1.0|0.083333333|9/30/2021|2.4|9/1/2021|E_608|608|2|3|3|2741|11|3|2|2
Research & Development|Current Employees|25-34|Male|Manufacturing Director|No|Current Employees|Bachelor's Degree|Technical Degree|29||||3.4||E_611|611|4|3|4|4262|12|3|2|4
Research & Development|Current Employees|25-34|Female|Research Director|No|Current Employees|Doctoral Degree|Medical|33||||2.8||E_612|612|1|4|3|16184|19|3|3|3
Sales|Current Employees|25-34|Male|Manager|No|Current Employees|Bachelor's Degree|Life Sciences|31||||2.8||E_613|613|3|2|4|11557|21|4|3|2
Sales|Ex-Employees|< 25|Male|Sales Representative|Yes|Ex-Employees|Bachelor's Degree|Marketing|18|1.0|0.010869565|3/25/2022|2.8|3/1/2022|E_614|614|2|3|2|1878|14|3|4|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Bachelor's Degree|Other|40||||2.2||E_615|615|3|1|1|10932|15|3|3|3
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Master's Degree|Other|41||||2.0||E_616|616|1|2|3|6811|17|3|1|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Associates Degree|Medical|26||||2.2||E_618|618|1|3|3|4306|12|3|1|3
Sales|Current Employees|35-44|Female|Sales Executive|No|Current Employees|Bachelor's Degree|Medical|35||||2.8||E_620|620|1|3|3|4859|16|3|4|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Master's Degree|Life Sciences|34||||3.8||E_621|621|4|4|4|5337|12|3|4|3
Research & Development|Ex-Employees|25-34|Male|Laboratory Technician|Yes|Ex-Employees|Bachelor's Degree|Technical Degree|26|1.0|0.007518797|11/9/2021|2.2|11/1/2021|E_622|622|3|1|4|2340|18|3|2|1
Research & Development|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Bachelor's Degree|Technical Degree|37||||3.4||E_623|623|2|3|4|7491|17|3|4|4
Research & Development|Current Employees|45-55|Female|Healthcare Representative|No|Current Employees|High School|Medical|46||||2.6||E_624|624|1|3|3|10527|11|3|4|2
Sales|Current Employees|35-44|Female|Manager|No|Current Employees|Doctoral Degree|Life Sciences|41||||2.2||E_625|625|2|3|1|16595|16|3|2|3
Sales|Current Employees|35-44|Male|Sales Executive|No|Current Employees|Master's Degree|Medical|37||||2.6||E_626|626|1|3|2|8834|13|3|4|3
Research & Development|Current Employees|45-55|Male|Research Scientist|No|Current Employees|Associates Degree|Technical Degree|52||||2.6||E_630|630|4|3|1|5577|12|3|2|3
Sales|Ex-Employees|25-34|Male|Sales Executive|Yes|Ex-Employees|Master's Degree|Other|32|1.0|0.010869565|3/22/2022|3.6|3/1/2022|E_631|631|4|4|3|4707|12|3|4|3
Sales|Current Employees|< 25|Male|Sales Representative|No|Current Employees|Bachelor's Degree|Medical|24||||3.4||E_632|632|4|3|4|2400|13|3|3|3
Research & Development|Current Employees|35-44|Female|Healthcare Representative|No|Current Employees|Bachelor's Degree|Medical|38||||3.0||E_634|634|3|3|3|9824|19|3|3|3
R & D|Current Employees|35-44|Female|Manufacturing Director|No|Current Employees|Master's Degree|Life Sciences|37||||2.2||E_635|635|2|3|2|6447|12|3|2|2
Research & Development|Current Employees|45-55|Male|Research Director|No|Current Employees|Master's Degree|Life Sciences|49||||3.0||E_638|638|4|2|3|19502|17|3|3|3
Research & Development|Current Employees|< 25|Male|Research Scientist|No|Current Employees|Bachelor's Degree|Medical|24||||3.0||E_639|639|2|4|4|2725|11|3|2|3
Sales|Current Employees|25-34|Male|Sales Executive|No|Current Employees|Associates Degree|Marketing|26||||2.8||E_641|641|1|3|2|6272|20|4|4|4
Research & Development|Current Employees|< 25|Male|Laboratory Technician|No|Current Employees|Associates Degree|Other|24||||3.0||E_643|643|4|2|2|2127|21|4|4|3
Human Resources|Current Employees|45-55|Male|Manager|No|Current Employees|Bachelor's Degree|Medical|50||||2.4||E_644|644|1|3|2|18200|11|3|3|3
Sales|Current Employees|25-34|Male|Sales Representative|No|Current Employees|High School|Medical|25||||2.8||E_645|645|2|3|3|2096|11|3|3|3
